id,location,coordinates
2527537955.0,Москва,"(55.625578, 37.6063916)"
2527804618.0,"Москва, Россия","(55.625578, 37.6063916)"
2527983201.0,Питер,"(59.938732, 30.316229)"
2528245959.0,Москва,"(55.625578, 37.6063916)"
2528293132.0,Moscow,"(55.625578, 37.6063916)"
2530603456.0,Москва,"(55.625578, 37.6063916)"
2531159968.0,"Washington, DC","(38.8950368, -77.0365427)"
2532597577.0,USA,"(39.7837304, -100.445882)"
2532611755.0,Atlanta,"(33.7489924, -84.3902644)"
2533001646.0,USA,"(39.7837304, -100.445882)"
2533653547.0,USA,"(39.7837304, -100.445882)"
2533984805.0,Чита,"(52.033409, 113.500893)"
2535166748.0,USA,"(39.7837304, -100.445882)"
2535218881.0,Atlanta,"(33.7489924, -84.3902644)"
2535353390.0,Atlanta,"(33.7489924, -84.3902644)"
2535818742.0,New York,"(40.7127281, -74.0060152)"
2536146374.0,"Atlanta, Georgia","(33.7489924, -84.3902644)"
2537592520.0,"Барнаул, Россия","(53.3475493, 83.7788448)"
2540596597.0,"Atlanta, GA","(33.7489924, -84.3902644)"
2540758755.0,USA,"(39.7837304, -100.445882)"
2540882036.0,US,"(17.789187, -64.7080574)"
2541215075.0,Санкт-Петербург,"(59.938732, 30.316229)"
2541945841.0,Atlanta,"(33.7489924, -84.3902644)"
2547141851.0,"Chicago, IL","(41.8755616, -87.6244212)"
2559217373.0,Москва,"(55.625578, 37.6063916)"
2559850571.0,"Москва, Россия","(55.625578, 37.6063916)"
2563274242.0,Москва,"(55.625578, 37.6063916)"
2568897527.0,Москва,"(55.625578, 37.6063916)"
2569229674.0,New - York,"(40.7127281, -74.0060152)"
2570017414.0,"Memphis, TN","(35.1460249, -90.0517638)"
2570250275.0,USA,"(39.7837304, -100.445882)"
2570631118.0,United States,"(39.7837304, -100.445882)"
2571870453.0,"Detroit, Michigan","(42.3315509, -83.0466403)"
2571997365.0,USA,"(39.7837304, -100.445882)"
2572058134.0,USA,"(39.7837304, -100.445882)"
2572092279.0,US,"(17.789187, -64.7080574)"
